"Tasa de mortalidad por enfermedades del sistema respiratorio (J00-J99) por cada 10,000 habitantes",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Por departamento,,,,,,,,,,,,,,,,,,,,,,,
Año,República,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2022,3.823046193528406,4.301012525141229,4.415376865756561,3.853324249407185,2.5565467880349564,3.405735095960607,3.4583572768112787,3.6407389660067793,1.9609536799309244,3.256181221949672,1.4519966995128322,2.1708292464675814,5.200356140558982,4.346451882897687,2.5803149831736008,4.432034042332883,4.669808692482552,3.0932892797681704,4.840435932011531,5.804820531671058,5.768191184332901,3.3693048168962627,3.117290260612029
2021,4.313331127183303,4.609448976913125,4.996964124631938,4.789698943013994,4.61556874411109,3.5609352488672696,4.17447599126496,4.096448474438906,4.162375437205608,4.369545374448224,1.6229224736861427,2.040510515823639,5.299434225286162,5.916291695374796,3.3927181478049415,4.266814463965823,4.475785609539977,3.2119933254805257,4.452525053428603,4.969357884100173,5.5521881308843035,3.042702662086533,3.3549984202468024
2020,3.7904103567060865,4.626539936459376,4.534649635189705,3.279443730553929,3.95857651022382,3.4633187794581715,2.951556044061306,3.5994103967153284,2.437980182791573,3.341282710275353,1.903148757922338,2.328336630131686,5.316606714255156,3.6784534360116776,3.489854998997701,3.583603816027723,4.3610814901155255,2.591343046138561,3.6351012284590527,3.528409418932382,4.278367915221238,3.2727033305707507,2.5317878920998163
2019,5.670913789221964,5.33226178076922,6.916012696492291,4.629212548893476,7.925851697385236,5.066235489192812,4.791975427234432,7.441286665729399,4.7381616192130975,5.407531108185519,2.93041438907338,2.1443088811946445,7.806829578366175,5.551775412093705,4.7398169493485485,7.158236071998052,8.174724821420556,3.8148090494312004,5.148894632100389,5.179184965336669,6.7239404323243175,5.3269790568975015,4.635493711494438
2018,5.659159659753044,4.762990874479854,6.9105098185292535,4.417206703619505,7.6617305277589765,5.427254454681025,4.8189638275823325,6.459780613190653,5.201573152673008,4.8688875071287665,2.7274321781788813,2.7392410796628552,7.563619413181294,5.832295495547112,6.304125133946429,6.929548539912624,9.054261012344318,4.196775815381748,4.811405724001956,5.269122040307249,6.63534311108022,5.184271321683656,3.9044220920305848
2017,6.043853650100966,4.750869396397042,7.091049081928696,4.739440079554862,8.015262739685147,5.92235467053018,5.6690457875012,7.803538985141475,6.213562113270258,5.634410938608837,3.17924871908353,3.0953080730646,7.989220631540594,6.470542904930505,5.711751846791805,5.902552341539698,9.957796130235302,4.102679120059232,4.833589626905909,6.175906106506855,7.235175280897846,6.666999307628847,4.894146353266694
2016,6.177780838517815,5.101437439602457,6.687215646034418,5.070642355479087,7.156401948836587,5.9507208386135515,4.908875191156055,8.220240215009637,6.514579519180662,6.338724721363552,3.2198156205868047,4.385269314685088,8.113868475513657,6.792724603827711,5.791976539287086,7.112548073184869,9.410429373162247,4.771040708004846,5.427421105410816,5.915292114378232,6.867415874051046,6.668890830563727,4.342205739297404
2015,6.282993988920064,4.900956056800956,7.048061543852463,5.12495436376818,6.860138812958047,6.331665399222314,5.012262345956549,8.213422992890377,10.505251290811273,5.600941580966726,3.838632593818082,5.035737225347769,8.175596189750003,6.7638566671765465,6.845203374544903,6.970663608196138,9.606193636762075,3.593673647293254,4.287293767927259,5.955290070287358,7.4715038375590135,6.03474385161539,4.78967182537718
2014,6.058936716058913,4.563315243011432,5.316516140233562,6.484967071650757,7.696090427159939,5.319389732928913,4.305863573121281,8.955900594225707,10.631925071365428,5.6846683558168705,5.18054172866227,4.89887354103227,7.354560917860319,6.744375436430107,7.345570741236258,6.218720964759782,8.445476760718963,3.2339192335967457,3.9136791713381496,5.215753194574214,7.0111638566833285,6.410532952334245,3.7300208259459553
2013,6.522209779446011,4.825759332951278,5.24153276592971,5.995423067378103,7.255109176735827,6.436195506378746,5.042040420327167,10.088434200058915,11.423217414142004,6.791664473465123,2.9484713216288,5.306794356519973,7.505587251354478,7.233890979544151,8.751099821119002,7.475291353368888,8.351710362254652,4.062102267684692,4.232881622838395,5.183056650727609,8.993875259479777,9.356316103384112,4.222535204473632
2012,5.9241201189938355,4.019944487955245,4.749845066651491,5.5316997857202725,6.404207390002927,5.052601292726476,4.398699975997682,8.55038120112662,13.285395892409307,4.994527495642202,4.06967773489928,5.35285924272862,8.490680672732292,7.328307660951522,8.162035326756502,7.702417071120756,7.664470402712784,3.0317186842302135,3.213094319013299,4.918409454567263,6.248095459438684,5.6832506419751985,3.8087665474179353
2011,6.325097622389951,4.630715135911462,6.59312409058415,6.890200225771784,6.928098292371747,5.407539913983666,5.112711718819034,8.399786026667675,12.51162435698753,5.5856337706116115,6.07686105072437,4.868631645279678,7.723956178024113,7.653577927132357,8.197401644669904,9.16687615210502,7.23554344207027,3.1572120479289465,3.4137736888125065,3.9621199909552987,8.312623361247923,8.367435271811198,4.205480791954016
2010,6.6635403708370315,4.781277729225112,5.655710017426592,6.1099962246161645,7.016369306865319,5.022050615770424,5.429689404961071,7.545743087499976,13.834509752294883,5.855426886209242,6.522684772951065,4.369986380493397,9.137229243152367,7.670332812121395,9.441972154662926,8.410808500625018,8.956997654133088,3.256288255425271,4.762406723441938,4.62502448681726,8.008976808245485,7.751861632604865,3.812178284770119
2009,6.674011418738789,4.40057568186789,6.655313484839588,6.392955885309053,8.186867849444535,4.742232605086536,5.497135999230324,7.1984064481076455,13.17990393128999,6.693555339319521,6.254044866027949,6.05234930067186,8.63503465391125,7.029945104569403,8.756527793541098,8.880249933975263,8.640917832774726,2.4284207794570034,5.364248095148913,5.005757420659184,8.417246456289048,8.019740326664051,4.075981079604627
2008,7.21094688752367,4.485567527831059,7.612969852639383,6.500724173936474,8.799139639679677,5.860902227924673,6.708493248662724,5.771366834463063,13.187364161595069,6.724571732729512,7.442099204198491,5.415687706886746,10.256768708380797,8.035466489171762,9.09313979686493,10.751945538692915,9.187527402241713,2.2701808895644726,4.24881806346115,5.344262528431237,8.305541072761832,9.015870226030952,4.5192757642679675
2007,7.291246060433409,3.9968583467781884,6.510416666666666,7.680200580664493,8.654507662807207,5.579843049399939,6.748514066103196,7.459646262793761,19.133190271649685,7.640290399805899,8.127913244649733,6.004898382020943,10.827645944618961,8.918431884918224,9.442718644180959,9.004965210266596,8.51060281647161,3.04396297771841,4.196171168871944,5.068268711910575,8.268790974681544,8.134689829533452,4.458144773611567
2006,7.7833838518166845,4.4796892970846605,5.983463881636205,6.622259951882941,9.153387035715161,5.556203012647453,5.62564839403768,7.969301002565112,17.930642979748526,8.875652836791412,8.033666365391746,6.248373380996769,12.88198529163836,8.765847926211531,10.625302138002356,8.039047287662424,10.99451067711241,2.705108182127594,5.59042143205948,5.787022839537129,9.17872272117919,8.808756125995131,4.932926044225646
2005,8.72950107293388,4.986885943148792,8.12101691649117,7.963447416023465,8.72377052993998,6.891144142596608,6.080375213732237,9.029399694684207,17.53821953469573,9.231121720668506,9.642294525951195,7.172747838421938,13.897221046536208,9.665603383715569,12.583573209607186,9.390125339221832,13.125022221592943,4.067787089384021,5.759473819179903,6.565314843002358,9.809679418170266,9.653017423773555,5.213962056168903
